-11.29 53.2278 -0.0301
-9.88 54.9704 -0.0266
-8.47 56.4374 -0.0227
-7.06 57.6497 -0.0186
-5.65 58.6233 -0.0144
-4.24 59.3698 -0.0098
-2.82 59.9007 -0.0053
-1.41 60.2144 -0.0007
0 60.3186 0.0041
1.41 60.2144 0.0087
2.82 59.9007 0.0133
4.24 59.3698 0.0179
5.65 58.6233 0.0221
7.06 57.6497 0.0262
8.47 56.4374 0.0301
9.88 54.9704 0.0336
11.29 53.2278 0.037
12.71 51.1657 0.0399
14.12 48.7747 0.0422
15.53 45.988 0.0441
16.94 42.7284 0.0454
18.35 38.8768 0.0464
19.76 34.2343 0.0468
21.18 28.3686 0.0468
22.59 20.3702 0.0462
24 0 0.0451
22.59 -20.3702 0.0435
21.18 -28.3686 0.0416
19.76 -34.2343 0.0394
18.35 -38.8768 0.0369
16.94 -42.7284 0.0342
15.53 -45.988 0.031
14.12 -48.7747 0.0278
12.71 -51.1657 0.0242
11.29 -53.2278 0.0204
9.88 -54.9704 0.0163
8.47 -56.4374 0.012
7.06 -57.6497 0.0077
5.65 -58.6233 0.0035
4.24 -59.3698 -0.0008
2.82 -59.9007 -0.005
1.41 -60.2144 -0.0093
0 -60.3186 -0.0137
-1.41 -60.2144 -0.0179
-2.82 -59.9007 -0.0221
-4.24 -59.3698 -0.026
-5.65 -58.6233 -0.0296
-7.06 -57.6497 -0.0332
-8.47 -56.4374 -0.0364
-9.88 -54.9704 -0.0395
-11.29 -53.2278 -0.0423
-12.71 -51.1657 -0.0446
-14.12 -48.7747 -0.0466
-15.53 -45.988 -0.0483
-16.94 -42.7284 -0.0496
-18.35 -38.8768 -0.0508
-19.76 -34.2343 -0.0515
-21.18 -28.3686 -0.052
-22.59 -20.3702 -0.052
-24 -0 -0.0517
-24 -0 -0.0504
-24 0 -0.0555
-22.59 25.4628 -0.0541
-21.18 35.4607 -0.0525
-19.76 42.7929 -0.0505
-18.35 48.596 -0.0483
-16.94 53.4104 -0.0455
-15.53 57.4851 -0.0424
-14.12 60.9684 -0.039
-12.71 63.9571 -0.0353
