          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  20.34  -5.30  20.15  -6.02   2.08   .8180   .2966   .0140   .8698  -.0335   .1432  -.0302   .0292   .3 25.0 99.0  20.25  -5.65    .00
  20.39  -6.62  20.09  -7.52   2.60   .8147   .3066   .0134   .8704  -.0322   .1674  -.0344   .0334   .3 25.0 99.0  20.25  -7.06    .00
  20.45  -7.94  20.02  -9.02   3.11   .8106   .3174   .0127   .8706  -.0310   .1912  -.0382   .0374   .3 25.0 99.0  20.25  -8.47    .00
  20.53  -9.27  19.94 -10.52   3.62   .8061   .3288   .0121   .8707  -.0298   .2138  -.0418   .0411   .3 25.0 99.0  20.25  -9.88    .00
  20.62 -10.59  19.84 -12.02   4.13   .8017   .3406   .0115   .8710  -.0285   .2347  -.0452   .0445   .3 25.0 99.0  20.25 -11.29    .00
  20.72 -11.91  19.73 -13.51   4.64   .7969   .3523   .0110   .8709  -.0273   .2536  -.0483   .0477   .3 25.0 99.0  20.25 -12.71    .00
  20.83 -13.23  19.61 -15.01   5.14   .7923   .3636   .0105   .8708  -.0262   .2713  -.0511   .0505   .3 25.0 99.0  20.25 -14.12    .00
  20.95 -14.55  19.48 -16.50   5.64   .7880   .3744   .0101   .8708  -.0251   .2873  -.0534   .0530   .3 25.0 99.0  20.25 -15.53    .00
  21.09 -15.87  19.34 -17.99   6.14   .7837   .3838   .0097   .8703  -.0240   .3008  -.0553   .0552   .3 25.0 99.0  20.25 -16.94    .00
  21.24 -17.18  19.18 -19.47   6.63   .7803   .3918   .0094   .8701  -.0231   .3118  -.0569   .0570   .3 25.0 99.0  20.25 -18.35    .00
  21.41 -18.50  19.01 -20.96   7.11   .7774   .3981   .0092   .8698  -.0223   .3211  -.0580   .0584   .3 25.0 99.0  20.25 -19.76    .00
  21.59 -19.81  18.83 -22.44   7.59   .7755   .4025   .0092   .8695  -.0216   .3281  -.0586   .0594   .3 25.0 99.0  20.25 -21.18    .00
  21.78 -21.12  18.64 -23.91   8.07   .7744   .4046   .0092   .8693  -.0211   .3329  -.0590   .0601   .3 25.0 99.0  20.25 -22.59    .00
  21.99 -22.43  18.43 -25.39   8.53   .7743   .4046   .0093   .8691  -.0208   .3363  -.0590   .0605   .3 25.0 99.0  20.25 -24.00    .00
  21.99 -22.43  18.43 -25.39   8.53   .7757   .4095   .0087   .8730  -.0204   .3358  -.0582   .0605   .3 25.0 99.0  20.25 -24.00    .00
